放送エリア,放送局,放送日,放送時間,番組名,番組概要
札幌,1 HBC,2026-07-29,04:20,テレビショッピング,お買い得な情報満載！
札幌,1 HBC,2026-07-29,05:20,THE TIME，🈑🈓熊本県で震度7の地震 夏休みのイオンモールで爆発も多数けが,地震から一夜 現地の状況は？▽タレントの板東英二さん死去に追悼の声▽雷雨に酷暑熱中症警戒▽バレー石川祐希の復活劇
札幌,1 HBC,2026-07-29,08:00,ラヴィット！絶品ハンバーグ争奪！キャッチコピーGPにK参戦！夏ソング原曲キーQ,▼あなたの好きな夏ソングは？原曲キークイズ▼川島にKOC王者が挑む！極上グルメ争奪！キャッチコピーGP▼お題に対する回答をAIがジャッジ！AI王決定戦を開催🈑
札幌,1 HBC,2026-07-29,09:55,テレビショッピング,お買い得な情報満載！
札幌,1 HBC,2026-07-29,10:25,ひるおび🈑,日本そして世界のニュースの「真相、裏側」をスタジオから3時間半生放送 恵俊彰があなたの「知りたい」にとことん迫る！その道のプロとどこよりも深く詳しく徹底分析！
札幌,1 HBC,2026-07-29,11:20,3分クッキング🈑【豚肉と夏野菜の中華炒め】,60年以上に亘り「簡単、便利でおいしい家庭料理」を届ける長寿番組。定番からおもてなしのメニューまで、旬の食材を活かした献立をお届けします。
札幌,1 HBC,2026-07-29,11:30,JNNニュース🈑,JNNが総力をあげて取材した道内・全国・世界の最新ニュースをお伝えします。
札幌,1 HBC,2026-07-29,11:55,ひるおび🈑,日本そして世界のニュースの「真相、裏側」をスタジオから3時間半生放送 恵俊彰があなたの「知りたい」にとことん迫る！その道のプロとどこよりも深く詳しく徹底分析！
札幌,1 HBC,2026-07-29,13:55,ゴゴスマ,熊本で地震 最大震度7の強い揺れ 各地で火災＆道路亀裂 ライフラインの影響は▼西日本厳しい暑さ…避難所でも熱中症警戒 🈀(予定)
札幌,1 HBC,2026-07-29,15:49,Nスタ🈑,嬉しいニュースに湧き立つ日も、つらいニュースで落ち着かない日も、夕方テレビをつければそこにある、いつもの顔、いつもの声、あなたのパートナーに、Nスタ。
札幌,1 HBC,2026-07-29,16:50,今日ドキッ！🈢【ゴビ砂漠250キロを走る過酷な大会に札幌の3児の母が挑戦！】,全校児童11人のうち5人が外国籍！2か月で日本語が話せる学校の支援とは…▽登別で将棋の王位戦始まる…藤井六冠VS伊藤二冠▽夏休みどこに行く？漁協のクルーズに乗船
札幌,1 HBC,2026-07-29,19:00,日本くらべてみたら★牛角で味噌ダレ頼む県は？長崎放送で長崎くらべてみた🈑🈓,牛角の「カルビ専用ごはん」が日本一頼まれるのは何県？ヒントは濃い味好き県！▼東京のテレビと地方局との違いとは？長崎放送にあの超人気芸人が行ったら？驚き化学反応が
札幌,1 HBC,2026-07-29,20:10,【バレーボールネーションズリーグ男子 準々決勝】日本vs中国 🈑🈓,"史上初の12連勝で予選を突破した最強ニッポン！
ここからは負けたら敗退…一発勝負の決勝トーナメント
石川祐希、髙橋藍、西田有志らスター軍団が今日も躍動する！"
札幌,1 HBC,2026-07-29,22:00,水曜日のダウンタウン#465🈑,先輩にオススメされた作品、次会う時までに最低でも情報くらいは入れておくはず説▼都内のパンチパーマ、令和の絶滅危惧種説
札幌,1 HBC,2026-07-29,22:57,HBC天気予報,道内の天気予報をお伝えします。dボタンを押すとデータ放送でも、あなたの街・道内・全国の天気予報、市町村ごとの警報・注意報などがご覧いただけます。
札幌,1 HBC,2026-07-29,23:00,news23🈑あなたと、あなたの身近な人にとって大切なニュースを,どこよりもわかりやすく、わかりやすい言葉で、色んな人の意見、色んな声、色んな視点と共にお伝えします。経験豊富な23ジャーナリストたちが、ニュースを深掘りします。
札幌,1 HBC,2026-07-29,23:56,ジンギス談！★パンクブーブーと青春時代を彩った懐かしの玩具を振り返る！,タカトシと同世代の「パンクブーブー」をゲストに迎えた後編！今回は4人の青春時代を彩った懐かしの玩具を振り返る。番組後半では「ミニ四駆最速王決定戦」も開催！
札幌,2 NHKEテレ..,2026-07-29,05:30,しあわせ気分のドイツ語（17）理由を伝える表現,テーマは「ことば×ライフスタイル」。ドイツの若者のリアルな暮らしで交わされる会話から、生きたドイツ語表現を学び、ドイツ流ライフスタイルやその価値観に触れる番組。
札幌,2 NHKEテレ..,2026-07-29,05:50,NHK高校講座 地理探究 観光産業と観光振興🈑,世界の地理を探究する番組！謎解きクリエイター松丸亮吾と一緒に「観光産業と観光振興」を探究しよう！世界で観光客が増えた理由はなに？観光客を分散させる秘策とは？
札幌,2 NHKEテレ..,2026-07-29,06:10,きょうの健康 尿のトラブル タイプ別徹底対策「夜間頻尿」🈖🈑🈞,寝ているときにトイレに行きたくなって何度も目が覚めてしまう夜間頻尿は3つのタイプに分けられる。自分がどのタイプか見分ける方法とともに、タイプ別の対策を紹介する。
札幌,2 NHKEテレ..,2026-07-29,06:25,テレビ体操🈑,【出演】鈴木大輔，我喜屋佑衣，福島波奈，新井庸太，森山雅斗，【ピアノ】能條貴大
札幌,2 NHKEテレ..,2026-07-29,06:35,みんなのうた「セルの恋」,【00年代】「セルの恋」うた：中川晃教（2005年）
札幌,2 NHKEテレ..,2026-07-29,06:40,プチプチ・アニメ こにぎりくん「パラソル」,三角ボディにごま塩頭、元気なおにぎりの男の子、こにぎりくん。お友達のケロッケやペットのブロッコリーと、今日は何をして遊ぼうかな？
札幌,2 NHKEテレ..,2026-07-29,06:45,ピタゴラスイッチ▽そっくりでびっくり🈑,今回のピタゴラスイッチは人形劇。テーマは「そっくりでびっくり」。「どっちが本物？」「針金ハンガーの歌」ほか。
札幌,2 NHKEテレ..,2026-07-29,06:55,Eテレ0655 水曜日🈑,1日のはじまりをつくる5分番組『0655』。「日めくりアニメ」「おはようソング」などの楽しいコーナーで、あなたを送り出します
札幌,2 NHKEテレ..,2026-07-29,07:00,The Wakey Show ベストセレクション🈑,全国のこどもたちに向け、DJウェイキーとその仲間たちが、今日一日が楽しくなるinterestingな情報をお届けするエデュテインメントショウ！
札幌,2 NHKEテレ..,2026-07-29,07:20,アニメ はなかっぱ「ライフランプランナー」「やまびこ村の都市伝説！？」🈑🈓,頭の上に花が咲くかっぱ「はなかっぱ」と個性豊かな仲間たち、そして謎の花「わか蘭」を狙う黒羽屋蝶兵衛一味が、緑いっぱいの「やまびこ村」で、てんやわんやの大騒ぎ！
